match_date,league,home_team,away_team,home_score,away_score,both_teams_score,over_2_5,first_half_home,first_half_away,first_half_result,home_corners,away_corners,Total_corners,Corners_result,home_yellow_cards,away_yellow_cards,Card_result
25/10/2021,SP1,Getafe,Celta,0,3,NG,Yes,0,0,Draw,2,7,9,Away Win,2,2,Draw
26/10/2021,SP1,Alaves,Elche,1,0,NG,No,0,0,Draw,4,7,11,Away Win,1,1,Draw
26/10/2021,SP1,Espanol,Ath Bilbao,1,1,GG,No,1,0,Home Win,8,12,20,Away Win,1,2,Away Win
26/10/2021,SP1,Villarreal,Cadiz,3,3,GG,Yes,1,2,Away Win,8,2,10,Home Win,3,6,Away Win
27/10/2021,SP1,Mallorca,Sevilla,1,1,GG,No,1,0,Home Win,4,2,6,Home Win,3,6,Away Win
27/10/2021,SP1,Vallecano,Barcelona,1,0,NG,No,1,0,Home Win,3,7,10,Away Win,2,2,Draw
27/10/2021,SP1,Betis,Valencia,4,1,GG,Yes,2,1,Home Win,4,7,11,Away Win,2,5,Away Win
27/10/2021,SP1,Real Madrid,Osasuna,0,0,NG,No,0,0,Draw,11,3,14,Home Win,1,1,Draw
28/10/2021,SP1,Celta,Sociedad,0,2,NG,No,0,0,Draw,7,6,13,Home Win,1,0,Home Win
28/10/2021,SP1,Granada,Getafe,1,1,GG,No,0,1,Away Win,5,0,5,Home Win,1,4,Away Win
28/10/2021,SP1,Levante,Ath Madrid,2,2,GG,Yes,1,1,Draw,5,2,7,Home Win,3,5,Away Win
30/10/2021,SP1,Elche,Real Madrid,1,2,GG,Yes,0,1,Away Win,5,4,9,Home Win,2,0,Home Win
30/10/2021,SP1,Sevilla,Osasuna,2,0,NG,No,1,0,Home Win,4,5,9,Away Win,2,2,Draw
30/10/2021,SP1,Valencia,Villarreal,2,0,NG,No,1,0,Home Win,7,6,13,Home Win,2,4,Away Win
30/10/2021,SP1,Barcelona,Alaves,1,1,GG,No,0,0,Draw,9,0,9,Home Win,0,2,Away Win
31/10/2021,SP1,Cadiz,Mallorca,1,1,GG,No,0,1,Away Win,6,5,11,Home Win,3,7,Away Win
31/10/2021,SP1,Ath Madrid,Betis,3,0,NG,Yes,1,0,Home Win,13,0,13,Home Win,0,0,Draw
31/10/2021,SP1,Getafe,Espanol,2,1,GG,Yes,1,1,Draw,6,11,17,Away Win,7,4,Home Win
31/10/2021,SP1,Sociedad,Ath Bilbao,1,1,GG,No,0,0,Draw,2,7,9,Away Win,4,3,Home Win
01/11/2021,SP1,Vallecano,Celta,0,0,NG,No,0,0,Draw,4,7,11,Away Win,2,5,Away Win
01/11/2021,SP1,Levante,Granada,0,3,NG,Yes,0,2,Away Win,3,5,8,Away Win,4,2,Home Win
05/11/2021,SP1,Ath Bilbao,Cadiz,0,1,NG,No,0,1,Away Win,5,1,6,Home Win,2,1,Home Win
06/11/2021,SP1,Espanol,Granada,2,0,NG,No,2,0,Home Win,5,3,8,Home Win,1,1,Draw
06/11/2021,SP1,Celta,Barcelona,3,3,GG,Yes,0,3,Away Win,3,1,4,Home Win,3,6,Away Win
06/11/2021,SP1,Alaves,Levante,2,1,GG,Yes,0,1,Away Win,1,3,4,Away Win,3,3,Draw
06/11/2021,SP1,Real Madrid,Vallecano,2,1,GG,Yes,2,0,Home Win,4,5,9,Away Win,1,2,Away Win
07/11/2021,SP1,Villarreal,Getafe,1,0,NG,No,1,0,Home Win,6,4,10,Home Win,1,1,Draw
07/11/2021,SP1,Valencia,Ath Madrid,3,3,GG,Yes,0,1,Away Win,9,0,9,Home Win,2,2,Draw
07/11/2021,SP1,Mallorca,Elche,2,2,GG,Yes,0,0,Draw,3,3,6,Draw,2,3,Away Win
07/11/2021,SP1,Osasuna,Sociedad,0,2,NG,No,0,0,Draw,5,2,7,Home Win,0,2,Away Win
07/11/2021,SP1,Betis,Sevilla,0,2,NG,No,0,0,Draw,2,1,3,Home Win,3,1,Home Win
